Instance_Name,Percentage
input_files\adapted_instance242_m=2_n=15_l=15_c=5_s=1.txt,0.0000
input_files\adapted_instance244_m=2_n=15_l=15_c=5_s=0.txt,0.0000
input_files\adapted_instance246_m=2_n=15_l=15_c=5_s=2.txt,0.0000
input_files\adapted_instance248_m=2_n=15_l=15_c=5_s=1.txt,0.0000
input_files\adapted_instance250_m=2_n=15_l=15_c=5_s=0.txt,0.0000
input_files\adapted_instance252_m=2_n=15_l=15_c=5_s=2.txt,0.0000
input_files\adapted_instance254_m=2_n=15_l=15_c=5_s=1.txt,0.0000
input_files\adapted_instance256_m=2_n=15_l=15_c=5_s=0.txt,0.0000
input_files\adapted_instance362_m=2_n=15_l=20_c=8_s=1.txt,0.0059
input_files\adapted_instance364_m=2_n=15_l=20_c=8_s=0.txt,0.0000
input_files\adapted_instance366_m=2_n=15_l=20_c=8_s=2.txt,0.0000
input_files\adapted_instance368_m=2_n=15_l=20_c=8_s=1.txt,0.0000
input_files\adapted_instance370_m=2_n=15_l=20_c=8_s=0.txt,0.0000
input_files\adapted_instance372_m=2_n=15_l=20_c=8_s=2.txt,0.0049
input_files\adapted_instance374_m=2_n=15_l=20_c=8_s=1.txt,0.0000
input_files\adapted_instance376_m=2_n=15_l=20_c=8_s=0.txt,0.0000
input_files\adapted_instance400_m=2_n=15_l=20_c=12_s=0.txt,0.0000
input_files\adapted_instance402_m=2_n=15_l=20_c=12_s=2.txt,0.0000
input_files\adapted_instance404_m=2_n=15_l=20_c=12_s=1.txt,0.0000
input_files\adapted_instance408_m=2_n=15_l=20_c=12_s=2.txt,0.0000
