Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_1.txt,9.84743,762,692
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_2.txt,8.12962,759,701
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_3.txt,7.71815,765,706
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_4.txt,9.88563,760,700
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_5.txt,8.65752,758,711
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_6.txt,8.53405,772,686
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_7.txt,8.69587,765,704
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_8.txt,8.99221,779,701
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_9.txt,5.20803,759,707
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_10.txt,5.84616,760,709
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_1.txt,2.56752,241,217
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_2.txt,5.03444,256,216
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_3.txt,7.02512,258,204
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_4.txt,5.67084,259,216
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_5.txt,4.36098,250,218
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_6.txt,2.8628,242,216
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_7.txt,5.02222,248,211
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_8.txt,8.37978,252,204
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_9.txt,7.62062,255,205
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_10.txt,2.62511,255,219
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_1.txt,5.93936,251,209
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_2.txt,6.96883,250,210
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_3.txt,5.78894,248,213
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_4.txt,5.51095,248,215
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_5.txt,5.36198,256,214
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_6.txt,4.62822,259,211
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_7.txt,5.33575,249,211
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_8.txt,5.03178,253,217
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_9.txt,5.02225,255,213
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_10.txt,6.02119,248,209
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_1.txt,3.26794,328,287
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_2.txt,4.97267,322,285
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_3.txt,4.52138,332,291
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_4.txt,4.5032,322,287
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_5.txt,4.97973,331,285
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_6.txt,2.54786,318,297
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_7.txt,4.22511,329,290
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_8.txt,4.36027,334,295
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_9.txt,3.94345,328,285
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_10.txt,2.8905,321,295
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_1.txt,7.50859,697,639
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_2.txt,7.66304,688,624
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_3.txt,6.21805,696,647
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_4.txt,10.8354,718,636
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_5.txt,8.28312,698,642
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_6.txt,12.9271,711,631
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_7.txt,7.80631,693,634
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_8.txt,11.5283,713,638
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_9.txt,13.0088,725,634
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_10.txt,8.98056,704,623
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_1.txt,5.5858,242,205
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_2.txt,4.36412,248,214
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_3.txt,6.03951,242,204
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_4.txt,5.72597,241,198
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_5.txt,5.36033,246,205
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_6.txt,5.59654,248,199
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_7.txt,4.65597,249,206
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_8.txt,3.9988,241,210
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_9.txt,4.42634,252,212
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_10.txt,5.42743,252,203
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_1.txt,3.25863,243,208
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_2.txt,5.64949,241,201
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_3.txt,5.78066,244,203
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_4.txt,5.71968,244,198
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_5.txt,6.23199,245,204
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_6.txt,6.37193,245,199
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_7.txt,3.63192,243,210
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_8.txt,4.2828,227,200
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_9.txt,3.97959,241,206
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_10.txt,3.65439,235,207
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_1.txt,4.99727,249,214
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_2.txt,3.3231,252,222
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_3.txt,2.96071,247,218
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_4.txt,6.11963,251,208
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_5.txt,5.88766,257,211
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_6.txt,3.32647,258,223
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_7.txt,3.63288,253,216
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_8.txt,4.69719,256,214
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_9.txt,4.08058,255,218
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_10.txt,6.68847,244,209
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_1.txt,4.64615,383,358
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_2.txt,2.2368,394,367
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_3.txt,3.24163,400,364
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_4.txt,3.55385,393,363
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_5.txt,5.06152,392,358
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_6.txt,4.71096,390,359
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_7.txt,2.99323,395,363
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_8.txt,3.90436,383,357
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_9.txt,5.66042,391,360
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_10.txt,4.27563,394,357
