Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_1.txt,10.3658,747,683
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_2.txt,9.46534,762,694
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_3.txt,11.1456,761,679
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_4.txt,7.21462,753,691
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_5.txt,10.7368,770,685
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_6.txt,13.3901,767,682
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_7.txt,15.8936,763,676
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_8.txt,10.3454,763,689
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_9.txt,10.9126,773,689
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_10.txt,6.73334,771,694
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_1.txt,5.86092,250,205
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_2.txt,5.51007,255,206
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_3.txt,4.53364,248,210
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_4.txt,5.52023,240,202
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_5.txt,6.48829,258,209
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_6.txt,5.29999,256,207
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_7.txt,5.22436,237,205
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_8.txt,6.27951,254,214
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_9.txt,6.01206,249,200
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_10.txt,6.39102,245,209
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_1.txt,5.84315,250,204
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_2.txt,5.83993,252,208
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_3.txt,6.97764,257,204
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_4.txt,6.28835,246,202
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_5.txt,7.15175,252,204
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_6.txt,4.74253,242,209
