Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_1.txt,8.13177,416,350
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_2.txt,8.03082,412,345
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_3.txt,8.16673,426,349
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_4.txt,13.172,412,345
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_5.txt,13.0075,406,352
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_6.txt,10.5505,411,357
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_7.txt,10.4699,410,352
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_8.txt,10.4363,418,348
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_9.txt,10.4675,406,352
adapted_instanceLarge362_m=4_n=100_l=30_c=10_s=1_10.txt,10.5216,415,353
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_1.txt,7.81637,417,366
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_2.txt,10.4314,418,353
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_3.txt,10.6514,419,367
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_4.txt,13.1758,419,359
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_5.txt,10.5756,423,360
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_6.txt,7.97132,430,361
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_7.txt,7.87411,425,363
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_8.txt,12.9497,418,357
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_9.txt,13.022,425,356
adapted_instanceLarge364_m=4_n=100_l=30_c=10_s=0_10.txt,7.95046,416,357
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_1.txt,15.2967,407,332
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_2.txt,10.4697,414,350
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_3.txt,7.94272,411,351
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_4.txt,7.85198,412,348
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_5.txt,10.5609,416,355
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_6.txt,7.9871,432,360
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_7.txt,7.9354,416,353
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_8.txt,10.4549,413,348
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_9.txt,10.5528,413,352
adapted_instanceLarge366_m=4_n=100_l=30_c=10_s=2_10.txt,13.1361,401,344
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_1.txt,7.86569,391,332
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_2.txt,10.5099,395,328
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_3.txt,10.5104,384,327
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_4.txt,10.5122,380,322
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_5.txt,10.5887,401,330
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_6.txt,8.03962,393,330
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_7.txt,7.95713,392,326
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_8.txt,10.5169,383,320
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_9.txt,7.90647,400,321
adapted_instanceLarge368_m=4_n=100_l=30_c=10_s=1_10.txt,7.92096,392,317
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_1.txt,7.98552,398,339
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_2.txt,10.4371,397,337
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_3.txt,13.1549,392,334
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_4.txt,10.4988,399,323
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_5.txt,10.6169,407,330
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_6.txt,8.00735,393,339
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_7.txt,10.4974,394,331
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_8.txt,7.98226,396,328
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_9.txt,10.437,392,335
adapted_instanceLarge370_m=4_n=100_l=30_c=10_s=0_10.txt,7.92884,395,336
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_1.txt,10.3989,404,330
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_2.txt,10.43,412,342
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_3.txt,7.97909,396,337
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_4.txt,19.0705,396,328
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_5.txt,10.8917,413,334
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_6.txt,10.466,413,339
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_7.txt,10.5307,403,335
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_8.txt,13.0183,396,330
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_9.txt,7.98655,405,345
adapted_instanceLarge372_m=4_n=100_l=30_c=10_s=2_10.txt,12.8193,395,321
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_1.txt,7.91343,416,359
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_2.txt,10.4616,411,351
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_3.txt,10.4446,415,340
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_4.txt,7.89067,423,348
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_5.txt,10.6289,407,354
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_6.txt,7.93921,416,343
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_7.txt,7.94118,425,356
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_8.txt,7.9828,414,356
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_9.txt,7.84531,407,354
adapted_instanceLarge374_m=4_n=100_l=30_c=10_s=1_10.txt,10.5698,420,356
adapted_instanceLarge376_m=4_n=100_l=30_c=10_s=0_1.txt,10.6245,410,359
adapted_instanceLarge376_m=4_n=100_l=30_c=10_s=0_2.txt,10.4659,423,346
adapted_instanceLarge376_m=4_n=100_l=30_c=10_s=0_3.txt,7.89532,413,347
adapted_instanceLarge376_m=4_n=100_l=30_c=10_s=0_4.txt,7.9942,414,355
