Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_1.txt,0.049585,43,39
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_2.txt,0.050324,42,39
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_3.txt,0.049547,44,40
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_4.txt,0.050755,47,42
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_5.txt,0.27862,44,38
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_6.txt,0.071926,44,39
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_7.txt,0.055735,45,41
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_8.txt,0.094211,44,39
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_9.txt,0.092222,46,41
adapted_instance1000_m=3_n=25_l=15_c=10_s=0_10.txt,0.11612,46,40
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_1.txt,0.302696,50,44
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_2.txt,0.049019,48,44
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_3.txt,0.066931,50,46
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_4.txt,0.054034,50,46
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_5.txt,0.065766,50,46
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_6.txt,0.440091,48,45
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_7.txt,0.119522,51,45
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_8.txt,0.057548,51,45
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_9.txt,0.053677,47,46
adapted_instance1002_m=3_n=25_l=15_c=10_s=2_10.txt,0.077989,51,44
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_1.txt,0.16734,50,43
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_2.txt,0.051062,48,43
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_3.txt,0.085991,46,42
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_4.txt,0.082376,47,41
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_5.txt,0.241124,48,43
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_6.txt,0.045689,45,44
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_7.txt,0.053097,46,41
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_8.txt,0.116334,47,41
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_9.txt,0.099574,46,41
adapted_instance1004_m=3_n=25_l=15_c=10_s=1_10.txt,0.046635,46,43
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_1.txt,0.0526,53,48
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_2.txt,0.081426,51,47
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_3.txt,0.066724,55,48
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_4.txt,0.122907,51,48
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_5.txt,0.057884,54,49
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_6.txt,0.081003,51,48
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_7.txt,0.057251,52,47
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_8.txt,0.048418,52,49
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_9.txt,0.058776,55,48
adapted_instance1006_m=3_n=25_l=15_c=10_s=0_10.txt,0.053771,55,48
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_1.txt,0.068554,54,48
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_2.txt,0.119423,50,49
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_3.txt,0.053864,54,48
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_4.txt,0.073401,52,49
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_5.txt,0.054514,55,48
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_6.txt,0.065724,51,49
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_7.txt,0.053254,51,49
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_8.txt,0.055084,52,49
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_9.txt,0.258784,51,49
adapted_instance1008_m=3_n=25_l=15_c=10_s=2_10.txt,0.049258,51,49
adapted_instance1010_m=3_n=25_l=15_c=10_s=1_1.txt,0.128534,53,47
adapted_instance1010_m=3_n=25_l=15_c=10_s=1_2.txt,0.097636,52,47
adapted_instance1010_m=3_n=25_l=15_c=10_s=1_3.txt,0.119503,49,46
