Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_1.txt,3.00756,745,669
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_2.txt,2.38095,750,674
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_3.txt,3.01769,743,675
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_4.txt,2.36742,733,677
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_5.txt,2.61288,728,681
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_6.txt,1.92985,739,667
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_7.txt,1.83554,752,677
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_8.txt,1.99027,752,669
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_9.txt,2.10118,741,671
adapted_instanceLarge100_m=3_n=50_l=40_c=30_s=0_10.txt,3.73252,732,671
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_1.txt,1.92036,709,655
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_2.txt,1.77914,731,647
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_3.txt,3.04208,718,642
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_4.txt,2.54615,718,645
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_5.txt,2.08238,702,643
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_6.txt,2.21062,715,658
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_7.txt,2.7859,713,651
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_8.txt,1.90882,713,663
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_9.txt,3.01558,706,646
adapted_instanceLarge102_m=3_n=50_l=40_c=30_s=2_10.txt,2.35928,706,646
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_1.txt,2.38013,709,631
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_2.txt,1.84839,683,634
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_3.txt,1.84349,712,624
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_4.txt,1.87957,693,637
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_5.txt,2.36175,695,632
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_6.txt,2.82549,703,625
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_7.txt,2.36964,703,628
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_8.txt,1.8052,700,627
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_9.txt,3.19843,705,626
adapted_instanceLarge104_m=3_n=50_l=40_c=30_s=1_10.txt,3.12092,681,618
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_1.txt,1.85587,777,697
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_2.txt,1.8398,770,681
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_3.txt,1.91635,766,697
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_4.txt,1.85499,752,686
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_5.txt,2.3638,767,687
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_6.txt,2.43117,765,687
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_7.txt,1.82161,764,696
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_8.txt,1.83078,762,689
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_9.txt,2.4452,782,697
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_10.txt,1.87702,767,692
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_1.txt,2.45334,805,735
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_2.txt,2.46087,785,748
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_3.txt,2.75001,815,720
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_4.txt,1.73723,789,735
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_5.txt,2.23167,800,724
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_6.txt,2.27451,807,732
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_7.txt,2.26053,794,736
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_8.txt,2.88501,798,729
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_9.txt,1.70744,798,729
adapted_instanceLarge108_m=3_n=50_l=40_c=30_s=2_10.txt,2.19393,777,730
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_1.txt,1.82864,272,230
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_2.txt,1.45611,278,227
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_3.txt,1.47438,276,233
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_4.txt,1.10442,275,236
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_5.txt,1.42057,282,225
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_6.txt,1.12488,278,232
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_7.txt,1.11916,284,229
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_8.txt,1.44637,272,225
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_9.txt,1.45997,274,228
adapted_instanceLarge10_m=3_n=50_l=30_c=10_s=0_10.txt,1.0827,276,228
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_1.txt,1.76649,743,663
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_2.txt,3.37159,714,656
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_3.txt,2.3082,708,664
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_4.txt,1.71563,732,665
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_5.txt,1.69395,735,660
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_6.txt,2.30489,732,658
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_7.txt,2.25842,719,654
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_8.txt,2.24986,738,641
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_9.txt,1.1508,717,651
adapted_instanceLarge110_m=3_n=50_l=40_c=30_s=1_10.txt,2.22128,737,655
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_1.txt,1.75884,692,639
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_2.txt,1.67741,701,619
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_3.txt,2.2525,695,629
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_4.txt,2.24996,698,614
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_5.txt,2.28161,704,623
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_6.txt,2.24281,660,629
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_7.txt,2.42055,694,625
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_8.txt,2.85194,706,624
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_9.txt,1.15281,688,630
adapted_instanceLarge112_m=3_n=50_l=40_c=30_s=0_10.txt,1.73491,699,627
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_1.txt,1.72931,693,637
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_2.txt,2.2512,705,631
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_3.txt,2.23087,698,620
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_4.txt,2.38508,699,642
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_5.txt,2.92143,717,645
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_6.txt,2.28384,703,621
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_7.txt,1.67266,704,633
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_8.txt,2.8542,692,631
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_9.txt,1.68413,701,642
adapted_instanceLarge114_m=3_n=50_l=40_c=30_s=2_10.txt,1.7195,711,640
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_1.txt,1.73074,767,709
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_2.txt,1.71185,752,703
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_3.txt,1.65471,771,697
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_4.txt,2.33494,770,700
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_5.txt,1.64426,771,696
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_6.txt,1.65073,768,698
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_7.txt,1.71135,757,690
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_8.txt,3.81383,762,685
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_9.txt,1.69967,787,695
adapted_instanceLarge116_m=3_n=50_l=40_c=30_s=1_10.txt,1.7205,761,685
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_1.txt,1.16224,694,644
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_2.txt,2.27653,704,637
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_3.txt,1.72557,699,635
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_4.txt,1.69728,695,631
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_5.txt,1.66262,693,634
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_6.txt,1.78446,711,632
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_7.txt,1.86804,708,637
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_8.txt,2.76204,695,619
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_9.txt,2.88125,708,632
adapted_instanceLarge118_m=3_n=50_l=40_c=30_s=0_10.txt,2.29766,709,633
adapted_instanceLarge120_m=3_n=50_l=40_c=30_s=2_1.txt,1.72924,691,628
adapted_instanceLarge120_m=3_n=50_l=40_c=30_s=2_2.txt,1.72443,676,614
adapted_instanceLarge120_m=3_n=50_l=40_c=30_s=2_3.txt,1.1781,692,627
adapted_instanceLarge120_m=3_n=50_l=40_c=30_s=2_4.txt,2.28764,676,620
adapted_instanceLarge120_m=3_n=50_l=40_c=30_s=2_5.txt,2.24831,661,626
adapted_instanceLarge120_m=3_n=50_l=40_c=30_s=2_6.txt,1.73377,690,625
adapted_instanceLarge120_m=3_n=50_l=40_c=30_s=2_7.txt,1.74938,683,621
