Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_1.txt,15.3456,767,686
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_2.txt,13.5849,760,698
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_3.txt,22.6977,765,686
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_4.txt,14.5491,774,6970
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_5.txt,14.4868,762,689
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_6.txt,13.1706,759,694
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_7.txt,15.0781,754,692
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_8.txt,21.2812,781,693
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_9.txt,22.9314,766,687
adapted_instanceLarge106_m=3_n=50_l=40_c=30_s=0_10.txt,16.8439,765,684
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_1.txt,9.13136,252,206
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_2.txt,7.95185,251,203
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_3.txt,7.89411,244,211
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_4.txt,9.01247,249,200
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_5.txt,7.13822,248,215
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_6.txt,6.1235,251,207
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_7.txt,6.02713,246,205
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_8.txt,10.6814,240,204
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_9.txt,11.5557,247,196
adapted_instanceLarge132_m=4_n=50_l=30_c=10_s=2_10.txt,12.4784,251,201
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_1.txt,5.20484,253,214
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_2.txt,10.5006,252,208
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_3.txt,9.74695,257,208
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_4.txt,11.8574,253,209
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_5.txt,9.70132,257,204
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_6.txt,13.0977,251,201
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_7.txt,13.0634,248,200
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_8.txt,10.9812,253,206
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_9.txt,11.9647,254,201
adapted_instanceLarge146_m=4_n=50_l=30_c=10_s=1_10.txt,7.05465,255,212
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_1.txt,8.04128,330,287
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_2.txt,6.60459,319,286
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_3.txt,6.07234,324,291
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_4.txt,9.02222,333,285
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_5.txt,8.65443,318,285
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_6.txt,4.64929,324,291
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_7.txt,4.60685,332,294
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_8.txt,8.02525,329,283
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_9.txt,6.25552,336,289
adapted_instanceLarge160_m=4_n=50_l=30_c=20_s=0_10.txt,6.85556,317,279
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_1.txt,11.3551,687,633
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_2.txt,13.5586,712,623
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_3.txt,13.1859,733,629
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_4.txt,25.2025,704,620
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_5.txt,15.2303,684,630
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_6.txt,20.3169,713,622
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_7.txt,16.5559,708,634
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_8.txt,18.0578,694,623
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_9.txt,10.8264,700,642
adapted_instanceLarge220_m=4_n=50_l=40_c=30_s=0_10.txt,17.7141,720,619
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_1.txt,7.87952,244,202
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_2.txt,11.4843,248,196
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_3.txt,7.31048,245,202
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_4.txt,7.92726,242,197
adapted_instanceLarge246_m=5_n=50_l=30_c=10_s=2_5.txt,9.34167,245,200
