Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_1.txt,1036.65,1598,1455
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_2.txt,1633.25,1573,1408
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_3.txt,1344.56,1595,1429
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_4.txt,1001.92,1601,1455
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_5.txt,1483.28,1591,1421
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_6.txt,1306.02,1601,1429
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_7.txt,1191.15,1619,1433
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_8.txt,1211.33,1588,1450
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_9.txt,1227.78,1597,1426
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_10.txt,1069.81,1634,1442
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_1.txt,1394.74,1638,1461
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_2.txt,1251.25,1637,1462
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_3.txt,937.851,1603,1465
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_4.txt,1638.96,1639,1424
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_5.txt,1007.66,1643,1484
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_6.txt,1157.25,1645,1460
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_7.txt,1207.14,1650,1473
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_8.txt,1356.7,1627,1458
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_9.txt,1351.55,1616,1450
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_10.txt,1229.06,1617,1466
adapted_instanceLarge1038_m=7_n=200_l=40_c=20_s=2_1.txt,1217.32,1359,1228
adapted_instanceLarge1038_m=7_n=200_l=40_c=20_s=2_2.txt,1613.27,1357,1224
adapted_instanceLarge1038_m=7_n=200_l=40_c=20_s=2_3.txt,1041.92,1350,1233
adapted_instanceLarge1038_m=7_n=200_l=40_c=20_s=2_4.txt,1649.87,1368,1208
adapted_instanceLarge1038_m=7_n=200_l=40_c=20_s=2_5.txt,1057.82,1363,1234
