Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_1.txt,114.564,414,338
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_2.txt,119.208,418,340
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_3.txt,130.054,416,331
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_4.txt,95.0937,420,341
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_5.txt,110.88,405,334
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_6.txt,103.013,416,340
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_7.txt,115.986,422,338
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_8.txt,141.622,412,331
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_9.txt,90.0348,409,344
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_10.txt,95.4892,411,335
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_1.txt,123.888,804,700
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_2.txt,128.142,820,706
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_3.txt,114.755,804,705
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_4.txt,104.264,804,705
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_5.txt,107.468,817,711
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_6.txt,86.5217,801,711
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_7.txt,144.356,806,697
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_8.txt,118.889,799,700
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_9.txt,165.472,817,697
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_10.txt,142.761,815,705
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_1.txt,221.568,1354,1206
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_2.txt,213.622,1354,1210
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_3.txt,184.966,1340,1208
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_4.txt,193.208,1348,1210
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_5.txt,189.335,1349,1217
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_6.txt,173.322,1332,1216
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_7.txt,225.517,1344,1207
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_8.txt,209.385,1353,1212
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_9.txt,224.677,1362,1203
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_10.txt,162.684,1364,1227
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_1.txt,205.827,1400,1241
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_2.txt,210.347,1405,1239
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_3.txt,217.326,1367,1225
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_4.txt,143.54,1371,1233
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_5.txt,210.467,1366,1224
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_6.txt,195.35,1370,1228
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_7.txt,261.952,1361,1229
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_8.txt,161.808,1401,1244
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_9.txt,211.044,1391,1221
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_10.txt,188.132,1398,1243
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_1.txt,244.605,1328,1153
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_2.txt,166.969,1282,1163
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_3.txt,223.823,1311,1167
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_4.txt,222.806,1307,1161
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_5.txt,146.775,1296,1176
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_6.txt,233.586,1333,1162
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_7.txt,148.059,1294,1166
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_8.txt,179.589,1317,1163
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_9.txt,157.506,1303,1184
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_10.txt,138.871,1253,1165
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_1.txt,65.986,398,339
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_2.txt,75.5469,408,339
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_3.txt,94.1178,402,328
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_4.txt,114.369,402,321
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_5.txt,76.3029,391,322
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_6.txt,109.003,404,323
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_7.txt,90.0542,401,331
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_8.txt,131.554,400,317
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_9.txt,102.07,398,325
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_10.txt,102.172,406,324
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_1.txt,106.979,853,757
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_2.txt,139.149,892,762
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_3.txt,135.505,882,762
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_4.txt,140.231,888,745
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_5.txt,174.248,873,749
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_6.txt,107.096,870,762
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_7.txt,131.701,872,754
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_8.txt,111.665,863,764
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_9.txt,154.905,862,747
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_10.txt,117.514,879,756
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_1.txt,155.443,705,623
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_2.txt,119.351,703,635
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_3.txt,132.68,700,629
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_4.txt,193.77,726,610
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_5.txt,104.09,706,624
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_6.txt,140.168,736,633
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_7.txt,137.589,707,623
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_8.txt,152.238,722,616
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_9.txt,146.485,705,626
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_10.txt,123.96,719,633
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_1.txt,147.754,777,697
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_2.txt,130.346,759,672
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_3.txt,211.626,763,665
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_4.txt,185.925,770,675
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_5.txt,151.466,765,676
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_6.txt,184.047,743,667
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_7.txt,154.215,787,677
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_8.txt,181.145,775,679
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_9.txt,139.753,777,686
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_10.txt,116.931,773,685
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_1.txt,95.7818,392,321
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_2.txt,107.756,388,319
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_3.txt,113.627,407,317
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_4.txt,99.4446,399,328
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_5.txt,124.214,405,315
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_6.txt,124.771,392,312
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_7.txt,171.941,410,306
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_8.txt,113.174,400,320
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_9.txt,120.315,388,321
adapted_instanceLarge618_m=6_n=100_l=30_c=10_s=2_10.txt,110.292,397,318
adapted_instanceLarge630_m=6_n=100_l=30_c=10_s=2_1.txt,121.472,398,316
adapted_instanceLarge630_m=6_n=100_l=30_c=10_s=2_2.txt,91.8602,389,320
adapted_instanceLarge630_m=6_n=100_l=30_c=10_s=2_3.txt,100.642,400,331
adapted_instanceLarge630_m=6_n=100_l=30_c=10_s=2_4.txt,92.3368,391,324
adapted_instanceLarge630_m=6_n=100_l=30_c=10_s=2_5.txt,116.262,388,320
adapted_instanceLarge630_m=6_n=100_l=30_c=10_s=2_6.txt,135.638,390,316
